Tm1, Tm2, Gm1Tm1, Gm1Tm2, Gm2Tm1, Gm2Tm2
Benfica, Ajax, 2, 2, 1, 0
Inter Milan, Liverpool, 0, 2, 1, 0
Villarreal, Juventus, 1, 1, 3, 0
Salzburg, Bayern Munich, 1, 1, 1, 7
Sporting CP, Manchester City, 0, 5, 0, 0
Atletico Madrid, Manchester United, 1, 1, 1, 0
Chelesa, Lille, 2, 0, 2, 1
PSG, Real Madrid, 1, 0, 1, 3
Benfica, Liverpool, 1, 3, 3, 3
Villarreal, Bayern Munich, 1, 0, 1, 1
Manchester City, Atletico Madrid, 1, 0, 0, 0
Chelsea, Real madrid, 1, 3, 3, 2
Liverpool, Villarreal, 2, 0, 3, 2
Manchester City, Real Madrid, 4, 3, 1, 3
Liverpool, Real Madrid, 0, 1